stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,0,0,0,2.14,0,0,0,1.07,7.49,3.21,0,1.07,0
21Day,1.34,0,2.68,2.68,0,0,0,0,5.35,0,0,5.35,0,0,0,0
3Month,0,0,0.64,0,0,0,0,0,0.64,0.32,0,0,0,0,0,0
22Month,0,0,1.09,0,0.55,1.09,0,0.55,0,0,0,0,0,1.09,0,0.55
