stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0
3Month,0.32,0,0.64,30.08,1.28,0.32,0,0,0.32,5.44,0.64,0.32,0,0.32,0.32,0.32,0.32,0,2.88,0.32
22Month,0,1.64,1.09,54.12,2.19,0,1.09,0.55,0,9.29,0.55,0,0.55,0,0,0,10.93,0,0,0
