stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,4.09,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,6.69,0,1.34,0,0,0,0,0,0,2.68,0,0,0,0,2.68,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0.96,0.64,6.4,0.32,0,0.64,0.32,0.32,0,8.96,1.6,0,5.44,1.6,1.6,1.6,1.6,0,1.6,0,0,0.32,0,1.28,81.91,0.64,0,1.6,10.56,0.64
22Month,0.55,0.55,0,9.29,0.55,0,0.55,1.64,3.28,0,53.03,1.64,1.09,9.29,1.09,0.55,3.28,1.64,1.64,0,1.64,0,0.55,0.55,0,28.97,0,0.55,0.55,0,1.64
