stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,4.09,20.43,0,0,0,4.09,138.94,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,5.35,0,0,0,0,0,0,0,1.07,0,3.21,5.35,0,17.12,0,0,0,26.74,54.56,0,1.07,0,10.7,0,0,4.28,0,0,0
21Day,1.34,0,0,6.69,8.03,8.03,0,0,0,0,0,2.68,0,0,0,1.34,10.71,0,0,1.34,10.71,28.11,0,0,0,0,0,0,2.68,0,0,0
3Month,0.32,0.32,0.64,8.64,0,1.28,0.96,3.84,0,13.76,2.88,0.64,6.72,0.64,2.56,3.52,1.92,1.28,0,0.96,0.64,0.96,0.32,0,0,0,1.28,25.92,0,1.28,11.84,5.44
22Month,0,1.64,2.19,4.37,0,2.19,0.55,6.01,1.09,55.76,2.19,1.64,12.57,0.55,0,7.65,8.2,0,0.55,0,0,0,0,0,0.55,0,0,2.73,0.55,1.09,0,4.37
