stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,24.52,4.09,0,0,0,0,4.09,16.35,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,0,5.35,0,0,2.14,0,0,0,0,0,1.07,5.35,12.84,5.35,0,0,0,1.07,270.66,20.33,3.21,1.07,8.56,1.07,0,0,2.14,6.42,7.49,3.21,0,0
21Day,0,0,1.34,5.35,0,1.34,1.34,0,5.35,0,1.34,0,12.05,0,2.68,2.68,8.03,9.37,0,0,1.34,0,84.33,9.37,2.68,0,9.37,1.34,0,0,0,8.03,29.45,6.69,0,10.71
3Month,0.32,0.64,0,6.08,0,0,0,0.64,47.03,0,8.96,8.96,3.84,1.6,5.12,2.56,6.08,7.68,0.96,0,3.52,8.64,1.6,0.64,18.24,0.64,0.32,1.28,0.32,4.16,0.32,0.64,0,0.32,0.96,70.39
22Month,0,4.37,0,8.2,0.55,0,0,0,104.96,1.64,30.07,12.57,3.83,4.37,3.28,0.55,18.04,9.29,0.55,2.19,1.64,0,3.83,1.09,20.23,0,0.55,0,0,3.28,4.92,1.09,0,0,0,21.32
