stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,4.28,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,5.35,0,0,0,0,0,0,0,12.05,0,0,0,0,5.35,0,0,0,0,0,0,4.02,0,0,0
3Month,0.32,0,115.5,0.32,0,0.32,3.2,0.32,1.6,0.96,36.47,1.28,0.64,0.32,0,67.83,0.32,0,0.32,0.32,0.32,0,0,0.32,0.64,0
22Month,0,29.52,232.87,1.64,8.2,4.92,19.68,4.37,57.4,0.55,86.37,2.73,3.28,0,2.73,4.92,0,0,0,0,0.55,1.09,1.09,0,0,0.55
