stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
3Month,2.88,1.6,1.28,0,0.64,0.32,0.32,3.2,0,0.96,0,0.64,0,0,0,3.52,2.88,1.6
22Month,2.19,0,2.19,34.99,5.47,1.64,0,3.83,0,0.55,1.64,0.55,0.55,0.55,0,0,0,1.64
