stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,4.09,98.07,0,0,0,0,0,12.26,4.09,20.43,0,4.09,49.04,4.09,0,0,0
72hpf,1.07,0,0,0,0,0,0,8.56,0,5.35,0,5.35,2.14,0,7.49,0,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,0,0,6.69,0,0
3Month,0,0.32,0,0,0.96,0.96,0.32,0,0.96,0.64,0.64,0,0,0,0,7.04,0.64
22Month,0,0,0,0.55,2.19,0,0,0,0,0,0.55,0,0,0,0,0,0
