stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,171.63,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,3.21,1.07,0,0,0,0,0,1.07,0,0,0,1.07,0,2.14,10.7,12.84,1.07,0,0,0,4.28,2.14,0,0,0,1.07,0,0,0,0,0,2.14,0,0,0
21Day,1.34,1.34,0,36.14,4.02,2.68,0,1.34,0,0,2.68,0,0,2.68,18.74,5.35,2.68,36.14,38.82,13.39,0,1.34,0,5.35,2.68,0,0,0,8.03,0,0,0,0,1.34,0,0,0,6.69
3Month,0,1.28,0.32,47.67,0,0,0.32,0,0.32,3.52,9.28,0,20.16,15.36,2.24,8,1.28,8.96,55.99,5.76,1.28,1.92,0,0.64,0,1.28,0.32,0,0,1.28,0.32,1.92,0,0,0.32,1.28,1.28,4.16
22Month,0.55,2.19,1.09,45.37,0,0,1.09,0.55,0,5.47,36.08,3.28,82.54,23.51,3.28,19.68,0,2.19,54.67,12.03,0,1.09,0.55,0,0,0.55,0.55,0.55,0,0,0,1.09,0.55,0,0,0,0,1.64
