stage,Hepatocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,4.09,0,0,4.09,0
72hpf,0,0,0,23.54,1.07,1.07
21Day,0,0,1.34,0,0,0
22Month,1.64,0,0.55,0,0,0
