stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,4.09,0,0,0,0,0,12.26,0,0,0
72hpf,0,0,0,0,0,2.14,0,1.07,1.07,1.07
21Day,0,1.34,0,0,0,2.68,1.34,0,0,0
22Month,0,0.55,0.55,1.09,0.55,0,0,0,0,0
