stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,61.3,0,0,0,0,0,0,0,0,0,0,28.6,0,0,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,26.74,1.07,0,0,0,0,0,0,1.07,9.63,0,35.3,0,0,65.26,4.28,0,0,67.4,0,1.07,2.14,2.14,2.14,0,0,0,0
21Day,5.35,0,17.4,2.68,2.68,0,1.34,0,1.34,0,0,6.69,0,40.16,0,1.34,25.43,1.34,0,1.34,41.49,1.34,0,0,4.02,22.76,0,0,0,0
3Month,0.32,0.32,1.28,0,0.64,0,7.36,0.64,0,0,0,0.96,1.6,24.64,0.64,2.56,1.92,0,0.32,0.96,4.48,0,6.08,0.32,0,0,1.6,0.64,5.12,0.96
22Month,0,0,1.09,0,0.55,1.64,9.29,1.64,0.55,0.55,0,0,2.73,4.92,0.55,2.19,1.64,1.09,0,0,0.55,0,2.19,0,0,0,0,0,0,0
