stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,T_cell
21Day,0,1.34,0,0,1.34,0,0,1.34,0,0,0,2.68,1.34,0,0
3Month,1.6,0,0.64,4.16,0,0.64,0.32,0.64,0.32,0,0.64,0,0,0,0.32
22Month,0,0,0,2.19,0,0,0,0,0.55,0.55,0,0,0,1.09,0
