stage,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,4.09,0,4.09,0
72hpf,0,0,1.07,0,0
22Month,1.09,0.55,0,0,1.09
