stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,2.14,0,1.07,0,0,0,0,0,0,3.21,5.35,1.07,1.07,0,0,0
21Day,1.34,1.34,0,0,0,0,0,1.34,1.34,1.34,2.68,0,0,1.34,0,1.34
3Month,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0.32,0
22Month,0,0,0,1.09,0.55,4.37,1.09,0,0,0,0,0,0.55,0,0,0
