stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,4.09,4.09,4.09,0,0,4.09,4.09,4.09,0,0
72hpf,3.21,0,1.07,0,0,1.07,1.07,1.07,1.07,0
21Day,0,1.34,1.34,0,0,0,0,0,1.34,0
22Month,0,0,0,2.19,1.09,0,0.55,0,0,1.09
