stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,134.85,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,20.43,0,0,16.35,0,0,0,0,0
72hpf,3.21,0,11.77,0,0,0,0,0,0,0,0,1.07,78.09,0,18.19,0,2.14,0,0,8.56,16.05,0,0,34.23,0,0,1.07,0,0
21Day,2.68,0,61.57,1.34,0,0,0,0,0,2.68,0,0,54.88,0,29.45,0,0,0,0,1.34,13.39,0,0,34.8,2.68,0,1.34,0,0
3Month,0,0,24,0,0.64,0.64,0,0.64,0.32,0,0.32,0.32,20.16,0,8.64,12.16,0.32,1.92,0.64,0,0,0.32,0.32,0.64,0.32,7.68,0,25.28,0
22Month,0,0.55,15.31,0,0,0,30.07,4.37,1.09,0,0,0,7.11,0.55,9.29,0.55,0,2.73,0,0,0,0,0,0,0.55,7.65,0,0,0.55
