stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell
72hpf,0,0,0,0,4.28,0,0,0
21Day,1.34,0,1.34,0,0,4.02,1.34,1.34
3Month,0,0.64,0,0.32,0,0,0,0
