stage,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,4.09,0
72hpf,0,1.07,0,1.07,43.86,0,2.14
21Day,2.68,0,0,0,28.11,0,0
22Month,0,0,0.55,0,0,0,0
