stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,40.86,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,2.14,3.21,0,0,0,0,0,0,1.07,0,0,4.28,4.28,5.35,1.07,0,2.14,2.14,0,6.42,0,0,0,0,0,0
21Day,1.34,0,5.35,0,1.34,1.34,0,0,0,0,2.68,5.35,2.68,2.68,2.68,2.68,10.71,0,0,2.68,1.34,0,5.35,1.34,1.34,1.34,0,0,14.72
3Month,0,0.32,1.6,0,0,0,0,0,0,0.96,0,0,2.56,0,0,0.96,0,0,0.32,0,0,0,0,0,0,0,0.32,0.32,1.28
22Month,0,1.09,0.55,0,0,0,0.55,0.55,0.55,9.84,0,0,0,0,0,0.55,1.09,0,0,0,0,0.55,0,0,0,0,0,0,0.55
