stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,1.07,34.23,0,0,1.07,0,0,0,0
21Day,1.34,4.02,1.34,0,0,0,0,2.68,0,4.02,24.09,0,1.34,0,1.34,1.34,0,0
3Month,0,0.96,0,0,1.28,0.32,0,0,0.32,0,0.32,0,0,0,0,0.64,1.6,0.32
22Month,0.55,0.55,0,0.55,9.29,0.55,1.09,0,0.55,2.19,0,0,0,0,0,1.09,0,0
