stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,2.14,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0
3Month,7.36,1.6,0.64,9.28,1.6,4.16,0.32,1.92,2.56,0.64,0.32,0,0.96,0.32,0,0.32,0,0.64,0.32,0.32,0.32
22Month,1.64,1.64,4.92,6.01,1.09,2.73,0,0.55,3.28,1.64,0,0.55,0,0,0.55,0,0,0,0,0,0
