stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,28.6,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,0,0,0,1.07,0,7.49,7.49,0,3.21,0,0,0
21Day,2.68,1.34,1.34,1.34,0,1.34,0,0,0,0,0,2.68,0,1.34,2.68,0,0,0,0,0
3Month,0,0,0.64,0,0.32,0,0,0.64,0.64,1.6,0.64,0.64,0.96,0,0,5.12,0,0.32,0.96,0.64
22Month,0,0.55,0,0,0,0,3.83,0,0,0,0,0.55,0,0,0,3.28,0,0,0,0.55
