stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,94.14,2.14,0,1.07,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,1.34,0,0,0,0,0,4.02,0,0,0,87,1.34,1.34,0,0,1.34,0,0,0,1.34
3Month,0,0.32,3.52,0,0.32,1.28,1.28,0.32,1.92,0,1.28,1.6,0.96,0.32,0.64,0.64,16,0,0.96,0,0.32,41.91,0.32,0.32,79.35,0.32
22Month,0.55,0,0.55,0,0,0,3.28,1.09,1.09,0,0,0.55,0.55,0,0,0,13.12,0,0,0,0,9.29,0,0,0,1.09
