stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,0,0,0,0,0,0,2.14,0,0,2.14,1.07,0,0,3.21,0,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,4.02,0,1.34,1.34,2.68,0,0,1.34,0,0,0,0,0,1.34
3Month,1.6,1.28,0,0.32,0,0.96,0.32,0.32,0.64,0.64,0,0,0.64,0,0,0,0,7.36,0,0,0.32,9.92,0.64
22Month,8.75,4.37,0,0.55,2.19,39.36,0.55,0,0.55,3.28,4.37,0.55,2.73,0,0.55,4.37,0,0.55,1.09,0.55,0,0,0.55
