stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,50.28,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,49.53,1.34,1.34,0,1.34
3Month,0,0.32,0,0.96,0.32,0.32,0.32,0.64,0.64,0,0,0,0,0,0
22Month,0,1.09,0,6.01,0.55,0,0,0.55,0,1.09,0,0,0,0.55,0
