stage,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0
21Day,0,1.34,0,2.68,0,0
3Month,0,0,0,0,0.64,1.28
22Month,0,0.55,0,0,0,0
