stage,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,16.35,0,0,12.26,0,0,8.17,8.17,0,0,0,16.35,0,0,0,0,0
72hpf,5.35,0,0,0,0,0,2.14,22.47,0,0,14.98,7.49,0,0,0,2.14,0
21Day,20.08,1.34,0,0,0,1.34,0,4.02,1.34,0,46.85,1.34,1.34,1.34,0,0,1.34
3Month,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0
22Month,1.64,0,1.09,0,10.93,0,1.64,0,0,1.09,0,0,0,0,0,0,0
