stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Macrophage,Neural_cell,Spermatocyte
72hpf,0,0,0,0,1.07,0
21Day,0,0,0,1.34,1.34,0
3Month,0.32,0.32,0.32,0,0.96,0.32
