stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,16.35,130.76,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,6.42,1.07,2.14,1.07,4.28,0,0,0,0,0,0,0,0,0,0,12.84,2.14,14.98,0,4.28,1.07,0,755.27,24.61,0,2.14,16.05,0,0,5.35,0,0,1.07,0,0,0
21Day,1.34,0,8.03,2.68,2.68,0,0,1.34,0,0,0,0,4.02,2.68,0,4.02,4.02,18.74,0,0,0,0,178.02,8.03,0,8.03,14.72,8.03,1.34,1.34,0,1.34,1.34,0,0,0
3Month,2.56,0.96,3.84,0.32,0,0.64,0.64,0.64,0,0,3.52,1.28,0,3.52,0,0.32,0,9.92,0.32,0,1.28,0.64,3.84,0,0.64,1.92,0.32,0.32,22.08,2.24,0.32,0,0,0.96,0.96,0.96
22Month,0.55,3.28,4.37,0.55,0,0,0,2.19,0.55,0,12.03,0.55,0.55,3.28,0.55,0,1.09,9.29,0,0,1.09,0,5.47,0,1.64,0.55,0,0.55,37.72,2.73,0,0,0,0,0.55,7.11
