stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,16.35,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,6.42,1.07,2.14,0,0,0,0,0,0,0,0,0,4.28,6.42,0,4.28,0,0,0,0,2.14,1.07,0,1.07,2.14,0,0,1.07,0,0,0,0
21Day,1.34,0,0,13.39,0,9.37,0,1.34,0,0,0,1.34,0,0,2.68,0,13.39,2.68,16.06,0,0,0,0,1.34,5.35,0,0,6.69,1.34,0,0,1.34,0,0,0
3Month,0,0,0.32,19.84,0.32,0,0.96,0,3.84,3.2,0,60.79,3.2,0.64,10.56,1.92,5.12,5.12,4.16,0.32,0.32,1.6,1.6,0,0,1.6,0,0,1.28,19.2,0.32,0.32,1.6,23.04,1.6
22Month,0,0,0,2.19,0,0,0,0,1.09,0.55,0,18.59,1.09,0,3.83,0,0,2.19,0.55,0,2.19,0.55,0,0,0,0,0,0,0,3.28,0.55,0,0,0.55,0
