stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,6.42,0,1.07,0,0,0,0,6.42,0,4.28,1.07,158.33,21.4,0,3.21,0,0,9.63,0
21Day,2.68,0,2.68,1.34,1.34,0,1.34,1.34,1.34,8.03,0,26.77,5.35,0,4.02,2.68,0,10.71,0
3Month,0,0.64,0.64,0,0,0,0,0.64,0,1.28,0,0,0,0.32,0,0,0.64,0,0
22Month,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0.55,0,0,0,0,1.09
