stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,4.09,0
72hpf,0,0,0,0,0,0,3.21,0,0,0
21Day,0,0,0,0,0,0,1.34,1.34,0,0
3Month,0.32,0.32,0.64,0.32,0.32,0.64,0,0,0,0.64
