stage,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,8.17,0
72hpf,1.07,0,0,0,0,2.14,1.07,0
21Day,4.02,0,1.34,0,1.34,2.68,1.34,0
22Month,0,0.55,0,0.55,0,0,0,0.55
