stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,6.08,0.32,3.52,0.32,4.48,0.32,0.32,16.96,0,0.64,3.84,0,2.24,0.32,0,0.32,0,0.96,0.32,0.96,0.64
22Month,1.09,1.09,3.83,0,0.55,3.28,27.33,0,0.55,8.2,0.55,0,4.92,1.64,0.55,0,0,0.55,0.55,1.09,0,0,1.09
