stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0
72hpf,1.07,0,0,0,0,0,0,0,2.14,0,0,0,13.91,0
21Day,0,2.68,1.34,0,0,1.34,6.69,0,5.35,1.34,2.68,0,22.76,1.34
3Month,0,0,0,0.32,0.32,0,0,0,0.64,0,0,0,0,0
22Month,0,0,0,1.64,0,0,0,0.55,1.09,0,0,0.55,0,0
