stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,110.33,0,4.09,0,0,0,0,0,4.09,0,0
72hpf,2.14,0,4.28,0,1.07,0,0,0,0,0,0,0,0,0,6.42,2.14,24.61,0,2.14,0,0,54.56,4.28,0,19.26,0,0,1.07,1.07,0,0,0,0
21Day,1.34,0,13.39,0,2.68,0,0,1.34,0,0,0,2.68,0,0,2.68,1.34,61.57,0,0,8.03,0,17.4,10.71,0,24.09,1.34,0,2.68,0,2.68,2.68,1.34,0
3Month,0,1.6,14.08,0.64,0,0.96,0.64,2.56,0,14.08,3.52,0.64,0.96,0.64,8.32,10.88,22.4,3.52,0,0.96,1.28,0.32,0,0.32,1.28,0.32,3.52,0.64,0,0,0,2.24,0.64
22Month,0,1.64,7.11,0,0,0.55,0,1.09,47.56,27.88,0,2.19,2.73,0,2.19,9.29,21.87,0,1.09,0.55,0,0.55,0,0.55,0,0,0.55,1.09,0,0,0,0,0
