stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,10.71,0,0,0,0
3Month,0,5.76,0,0.32,2.24,1.92,0,10.24,3.52,1.28,0.64,1.92,2.56,0.96,0.32,0,0.96,1.6,0.64,0,0,0,0,3.52,295.63,0,0.96,133.42,0.64
22Month,3.28,3.28,0,0,1.09,4.92,6.01,34.44,2.19,3.83,1.09,1.09,1.09,2.73,0,0.55,2.19,0,0.55,0,0.55,265.67,0.55,0.55,47.01,0.55,0,1.64,0
