stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,469.94,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,8.17,20.43,0,0,0,0,20.43,245.18,0,0,0,0,0,0,0,0,0,0,0
72hpf,221.45,1.07,0,6.42,4.28,67.4,0,0,0,0,0,1.07,0,5.35,51.35,0,17.12,0,0,5.35,0,891.14,84.51,4.28,22.47,0,1.07,18.19,3.21,3.21,1.07,0,0,0
21Day,215.5,1.34,1.34,22.76,0,18.74,0,0,2.68,1.34,0,5.35,2.68,1.34,4.02,1.34,18.74,0,0,14.72,0,157.95,25.43,2.68,8.03,9.37,1.34,0,2.68,1.34,1.34,0,0,2.68
3Month,4.48,0.64,0,12.48,0,0,0.32,0.32,2.24,9.6,2.56,1.28,1.92,0.96,2.56,2.24,3.84,0.32,0,5.76,0.32,2.88,0,1.6,0,2.24,23.36,0.32,0,0,0.32,0.64,7.68,0.96
22Month,2.73,1.09,0.55,9.84,0,0,0,0,2.73,61.77,2.19,0,4.37,0,1.09,4.37,4.92,0,1.64,2.73,0,4.37,0,2.19,0,1.09,14.76,0,1.64,0,0,0,0,1.64
