stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Neural_cell,Primordial_germ_cell
72hpf,0,0,0,0,1.07,0
21Day,0,0,0,1.34,2.68,0
3Month,0.32,0,0,0,0.32,0.32
22Month,0,0.55,1.09,0,2.73,0
