stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,16.35,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,49.04,73.56,0,16.35,0,0,0,0,0,4.09,0,0,0
72hpf,11.77,6.42,0,21.4,77.02,25.67,3.21,0,0,0,1.07,0,4.28,26.74,3.21,18.19,4.28,0,0,3061.74,98.42,1.07,33.16,0,0,26.74,6.42,2.14,1.07,0,0,0
21Day,14.72,0,0,13.39,18.74,26.77,0,0,0,0,8.03,0,13.39,10.71,5.35,25.43,0,2.68,0,1092.24,41.49,0,9.37,14.72,2.68,2.68,4.02,10.71,4.02,0,0,1.34
3Month,0,0,0,21.44,4.48,0,0.32,0.64,2.56,0.96,0,1.92,0,0.64,0.96,0,0,0.64,0.32,8,0.32,0,0,0.64,7.68,0.32,0.32,0,0,0.64,84.47,0
22Month,0,0,0.55,2.19,0,0,0.55,5.47,1.09,0,0,0.55,0,0,0,1.09,0.55,0.55,0,0,0,0,0,0,22.96,0.55,0,0,0,0,0,0.55
