stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,3.84,0,0.32,0.96,0,3.2,0.32,0.32,0.64,0.32,0.32,1.28,0.64,0.32,0,0.32,0.32,0.32,14.72,0.32,41.59,0.64
22Month,0,0.55,0.55,0,0,0.55,1.09,8.75,0.55,0,0,0,0,0.55,1.64,0,0,0,0,0,0,0,0,0.55
