stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,1.07,0,3.21,7.49,1.07,5.35,0,0,0,0,19.26,5.35,0,0,0,0,0,0,3.21,0,0,0,0,0
21Day,4.02,0,0,16.06,1.34,0,0,2.68,0,0,0,4.02,1.34,0,5.35,4.02,13.39,0,0,4.02,0,6.69,5.35,0,0,0,6.69,1.34,0,1.34,1.34,1.34,0,0,2.68
3Month,0,0.96,0.32,14.4,0,0.64,2.24,4.48,0,20.8,4.16,0.96,7.68,1.6,3.2,5.44,1.28,0.64,0,0.96,0,0.96,0.32,0.32,0.64,0,0,0.96,1.92,0,0,0,0.96,1.28,5.12
22Month,0.55,2.19,2.19,16.95,0,0,4.37,5.47,2.19,39.36,5.47,3.28,14.21,0,4.37,4.37,4.37,0,1.09,4.37,1.09,0,0,1.64,0,0.55,0,0,1.09,0,0,0,0,0,6.01
