stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,1.34
3Month,29.44,0,0,1.28,6.08,0,1.28,3.84,0.32,0.32,0.96,11.84,20.48,1.28,0.32,0,0.96,0.32,0.96,0.32,0
22Month,10.39,0.55,0,4.37,2.73,0.55,7.11,1.64,1.64,12.57,0,2.19,19.13,0.55,0,0,1.09,0,0.55,0,1.64
