stage,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,4.09,0
72hpf,1.07,2.14,1.07,10.7,0,0
21Day,0,0,0,9.37,0,1.34
