stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,4.09,155.28,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,19.26,2.14,0,6.42,7.49,1.07,0,1.07,0,0,0,0,0,4.28,19.26,3.21,4.28,0,1.07,0,1.07,1681.71,63.12,0,6.42,0,13.91,0,0,17.12,3.21,2.14,5.35,0,0,0
21Day,4.02,0,0,6.69,16.06,0,0,0,0,0,0,1.34,1.34,1.34,8.03,4.02,16.06,0,0,1.34,1.34,472.5,36.14,2.68,9.37,0,12.05,10.71,1.34,6.69,0,4.02,1.34,1.34,0,4.02
3Month,0,0.32,0.32,8.32,0,0.32,1.6,1.28,0,24.32,1.92,0,6.08,0.64,0.96,2.56,5.44,0.64,0.32,1.28,2.88,3.52,2.56,3.2,0.32,0,0,0.64,8.64,0,0,0,0.96,0.32,10.88,1.6
22Month,0,2.19,0.55,8.75,0,0,1.09,7.11,16.4,129.01,2.73,0.55,15.85,0,0.55,6.01,8.75,0,3.28,1.64,0,6.56,1.09,6.01,0.55,0.55,0,0.55,18.04,2.73,1.09,0.55,0.55,0,0.55,4.92
