stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,0,8.17,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,3.21,0,0,0,0,0,0,0,2.14,0,1.07,3.21,2.14,8.56,0,1.07,1.07,0,46,13.91,0,5.35,0,0,1.07,1.07,0,1.07,0,0,0
21Day,9.37,1.34,13.39,6.69,0,4.02,0,0,0,2.68,2.68,1.34,2.68,1.34,4.02,1.34,14.72,0,0,2.68,0,22.76,10.71,0,6.69,2.68,0,0,0,1.34,1.34,0,0,4.02
3Month,0,0,11.52,0,0.32,0,0,2.24,0.32,26.24,1.6,0,6.08,2.24,5.76,3.2,1.92,0.32,0.32,1.28,0.64,0.64,0,0.96,0.32,1.28,2.88,0.32,0,0,0,0.32,0.64,1.6
22Month,0.55,0,3.83,0,0.55,0.55,1.09,4.92,2.73,78.17,1.09,1.64,6.01,0,1.09,3.83,2.19,0,2.73,1.09,0,0,0,1.09,1.09,0.55,1.09,0,0.55,0,0,0,0,1.64
