stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,57.21,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,3.21,1.07,1.07,0,0,0,0,48.14,2.14,2.14,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,2.68,0,0,0,0,16.06,0,1.34,0,0,0,1.34,0,1.34
3Month,0,0.64,1.6,0.64,0.32,0.64,0,110.38,4.8,0,0.96,11.84,1.6,0.64,0,0.32,2.88,0,7.04,0.64,0.96,1.92,0.32,31.99,0.32
22Month,0,0,1.64,1.09,1.09,1.09,0.55,111.52,2.73,0,0,0.55,3.28,0,2.19,0.55,4.37,0,3.83,0,0,3.83,1.09,0,0.55
