stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,4.09,0,0,0,0,4.09,0,0,16.35,0
72hpf,0,1.07,0,0,0,1.07,0,1.07,0,1.07
21Day,0,1.34,0,0,0,0,0,1.34,0,0
3Month,0,0.32,0.32,0.32,0.32,0,0.32,0,0,0
22Month,0,0,0,0.55,0,0,0,0,0,0.55
