stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,0,6.69,0,0,0,1.34,0,0,0,0
3Month,0.32,3.2,0.32,1.28,3.2,0.64,3.52,46.71,0,0.32,0.64,0,0.64,1.28,0.96,0.32
22Month,0,0,0.55,1.09,8.2,0,2.73,0.55,0,0,0,0,0,2.19,0,0
