stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,40.86,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,4.09,0,24.52,0,0,0,0,0,0,0,0
72hpf,0,0,17.12,2.14,0,0,0,0,0,0,0,5.35,50.28,0,4.28,0,0,0,5.35,3.21,0,5.35,0,0,0,0,0,0
21Day,0,0,26.77,0,0,0,0,0,0,0,1.34,0,40.16,0,4.02,0,0,0,1.34,4.02,0,5.35,5.35,0,0,0,0,0
3Month,0.32,1.92,36.79,0,0,7.36,1.6,0,95.98,2.24,17.92,0.64,4.8,0.64,2.24,0.32,0.96,5.12,0.32,0.32,1.92,0,2.24,0.32,0.32,0.32,0.32,0.64
22Month,4.37,6.56,51.39,0,0.55,8.75,2.19,0.55,94.02,0.55,40.45,0,3.28,3.28,5.47,9.29,0.55,0.55,0,0,1.64,0,0,0,0.55,0.55,0,0.55
