stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,98.07,0,0,0,0,0,0,0,0,0,0,4.09,0,0,24.52,0,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,9.63,2.14,1.07,0,0,0,0,0,0,0,0,12.84,135.86,0,0,0,0,5.35,10.7,5.35,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0,0,0.32,0,0,0,0,0,0,0.64,0,0,0,4.8,0.32,0,0.32,0,0,0,0,0,0,0,0,0,1.28,0,0,0.32,0.32,0
22Month,1.09,10.39,1.64,13.67,0,0,1.09,1.09,9.84,9.29,89.65,8.75,1.64,4.92,0.55,3.83,3.28,15.31,1.09,1.09,0,0.55,0.55,2.19,1.64,839.11,0,1.64,1.09,0.55,0,0,1.64
