stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,8.17,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,0,25.67,0,0,0,0,0,1.07,7.49,0,1.07,1.07,3.21,0,0,0
21Day,1.34,9.37,2.68,2.68,1.34,0,0,0,12.05,1.34,1.34,0,1.34,10.71,0,0
3Month,0,0.32,0,0,0,0,0,0.32,0,0,0,0,0,0,0.64,0.32
22Month,0,1.64,0.55,0,2.19,1.09,0.55,0,0,0,0,0,0,0,1.09,0
