stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,4.09,0,0,0,0,0,0,0,8.17,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,2.68
22Month,0.55,0.55,0,0.55,4.37,1.09,0.55,1.09,0,0,0
