stage,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,1.07,0,0,43.86,2.14,0,2.14,0,1.07
21Day,1.34,1.34,0,1.34,1.34,10.71,0,2.68,1.34,2.68,0
