stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,2.14,0,0,0,1.07,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,1.34,0,2.68,0,0,0,1.34,0
3Month,0,0,0.32,6.08,0.32,1.6,0,9.28,1.6,0,3.52,1.28,2.24,1.6,1.6,0.32,0.64,0.96,0.32,0,0.64,0.32,0,0.64,1.28,15.04,0,0,0.64,47.35,0.96
22Month,1.09,0.55,0,7.11,1.09,8.2,1.09,109.88,4.92,2.19,7.65,0.55,1.09,5.47,2.73,2.19,0.55,0,0,0.55,2.19,0,19.13,0.55,1.09,39.36,1.09,0.55,0,0,3.28
