stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,6.42,0,6.42,1.07,4.28,0,0,0,0,0,0,0,6.42,18.19,3.21,21.4,1.07,1.07,0,446.1,57.77,0,1.07,32.09,1.07,1.07,5.35,759.55,2793.22,1.07,0,0
21Day,115.11,18.74,16.06,416.28,13.39,207.47,56.22,6.69,14.72,88.34,17.4,100.39,40.16,28.11,226.21,69.6,516.67,1.34,69.6,5.35,599.66,243.61,8.03,16.06,187.39,144.56,9.37,50.86,7531.93,35461.76,10.71,1.34,54.88
3Month,0,0,0,2.24,0,0,0,0,0,0.64,0,0,0,0,3.52,0.32,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0
22Month,0,0,0,0.55,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0
