stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,1.07,1.07,4.28,0,0,1.07,0,0,0
21Day,0,50.86,1.34,0,0,0,0,6.69,0,1.34,18.74,1.34,1.34,1.34,2.68,0,0,0,0,0,1.34,1.34,1.34
3Month,0.64,27.52,0,0,0.96,0,3.84,0,1.6,2.56,44.47,2.24,1.6,2.24,0.32,0,0,0.32,1.92,0,0.32,0,0.96
22Month,0.55,11.48,0,1.09,0.55,1.64,11.48,0,0.55,0,4.37,1.09,0,0,0,0,0.55,0,1.09,0.55,0,0,0
