stage,Endothelial_cell,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,8.17,4.09,4.09,12.26,0,114.42
72hpf,1.07,1.07,0,0,1.07,1.07,3.21
21Day,0,0,0,0,1.34,0,2.68
