stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0.32,8.64,7.68,1.92,0.64,6.4,2.56,11.52,3.2,0.32,551.59,0.64,1.92,1.28,1.28,0.32,1.6,0.32,0.96,0,2.56,2.88,0,0.32,0.32,2.88,1.6
22Month,0,5.47,3.83,0,0,2.73,2.19,6.01,1.09,0,110.42,0,0,0.55,0.55,0.55,0,0,0,0.55,0,0,0.55,0,0,0,0
