stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Neural_cell,Primordial_germ_cell
72hpf,1.07,0,0,6.42,0
21Day,0,1.34,0,5.35,0
3Month,0,0,0.96,0,0
22Month,0,0,4.37,0,0.55
