stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,1.34,1.34,1.34,0,0,1.34,0,0,0,0
3Month,0.64,0.32,1.92,0.64,0.32,0,0,1.6,0,0.32,0,0.32,0,1.28,0.96
22Month,0,0,0.55,1.64,0,0,0,0,0.55,0,0,0,0.55,0,0.55
