stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,0,0,0,0,0,0,1.07,0,7.49,0,114.47,27.81,0,2.14,0,0,0,0,1.07,0
21Day,1.34,0,2.68,5.35,0,0,0,2.68,0,4.02,0,12.05,0,88.34,16.06,0,4.02,1.34,0,0,1.34,0,2.68
3Month,0,0,1.6,0,0,1.92,0.32,0,0,0.32,0.32,0.64,0,5.12,0,0.64,0.64,0,0.32,0.32,0.32,0,0.32
22Month,0,1.09,0,0,0.55,10.39,0.55,0,1.64,0,1.09,0.55,1.64,2.19,0,0,0,0,0,0,0.55,0,0.55
