stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,3.21,0,0,0,0,7.49,0,0,0,0,0,0,0
21Day,0,2.68,1.34,0,0,0,1.34,0,0,0,5.35,0,2.68,0,0,2.68,0,0,1.34,0,0,0,0
3Month,0,4.48,0,0,0.32,0.64,7.04,0.32,1.92,0.32,0.96,1.28,0.32,0,0.32,0.32,0,0.32,0.96,7.68,0.32,10.56,0.64
22Month,0.55,0.55,0,0.55,0,2.73,12.03,0.55,1.09,0,0.55,1.09,1.64,0.55,0,0.55,0,0,0,1.09,0,0.55,0
